0			-3257	-4140
2	7.21E-10	2.70E-09	-3257	-4140
4	2.73E-09	6.62E-09	-3257	-4140
6	7.33E-09	1.29E-08	-3257	-4140
8	1.59E-08	2.27E-08	-3257	-4140
10	3.00E-08	3.72E-08	-3257	-4140
12	5.16E-08	5.75E-08	-3257	-4140
14	8.28E-08	8.50E-08	-3257	-4140
16	1.26E-07	1.21E-07	-3257	-4140
18	1.86E-07	1.69E-07	-3256	-4139
20	2.63E-07	2.30E-07	-3256	-4138
25	5.56E-07	4.63E-07	-3254	-4137
30	9.99E-07	8.37E-07	-3250	-4134
35	1.58E-06	1.36E-06	-3244	-4129
40	2.28E-06	2.03E-06	-3234	-4120
45	3.05E-06	2.81E-06	-3221	-4109
50	3.85E-06	3.66E-06	-3204	-4092
60	5.48E-06	5.50E-06	-3157	-4047
70	7.00E-06	7.35E-06	-3095	-3983
80	8.35E-06	9.11E-06	-3018	-3901
90	9.52E-06	1.07E-05	-2929	-3802
100	1.05E-05	1.22E-05	-2829	-3688
120	1.21E-05	1.46E-05	-2602	-3421
140	1.32E-05	1.64E-05	-2349	-3111
160	1.41E-05	1.79E-05	-2077	-2769
180	1.47E-05	1.91E-05	-1789	-2400
200	1.52E-05	2.00E-05	-1491	-2010
220	1.56E-05	2.08E-05	-1183	-1602
240	1.60E-05	2.15E-05	-867	-1180
260	1.63E-05	2.21E-05	-545	-745
273.15	1.64E-05	2.24E-05	-331	-453
280	1.65E-05	2.26E-05	-218	-299
293.15	1.66E-05	2.29E-05	0	0
300	1.67E-05	2.30E-05	114	157
320	1.69E-05	2.35E-05	451	622
